ATS_CODE,BORO,BORONUM,LOC_CODE,SCHOOLNAME,SCH_TYPE,MANAGED_BY,GEO_DISTRI,ADMIN_DIST,ADDRESS,STATE_CODE,ZIP,PRINCIPAL,PRIN_PH,FAX,GRADES,City
09X404,X,2,X404,SCHOOL FOR EXCELLENCE,High school,1,9,9,1110 BOSTON ROAD,NY,10456,Carmen Bardeguez Brown,718-860-1385,718-860-4882,"09,10,11,12,SE",BRONX
09X543,X,2,X543,HIGH SCHOOL FOR VIOLIN AND DANCE,High school,1,9,9,1110 BOSTON ROAD,NY,10456,Franklin Sim,718-842-0687,718-589-9849,"09,10,11,12,SE",BRONX
09X035,X,2,X035,P.S. 035 FRANZ SIEGEL,Elementary,1,9,9,261 EAST 163 STREET,NY,10451,GRACIELA NAVARRO,718-681-7214,718-681-7264,"0K,01,02,03,04,05,SE",BRONX
08X366,X,2,X366,URBAN ASSEMBLY ACADEMY OF CIVIC ENGAGEMENT,Junior High-Intermediate-Middle,1,8,8,650 HOLLYWOOD AVENUE,NY,10465,CAMERON BERUBE,718-822-0126,718-822-1049,"06,07,08,SE",BRONX
08X371,X,2,X371,URBAN INSTITUTE OF MATHEMATICS,Junior High-Intermediate-Middle,1,8,8,650 HOLLYWOOD AVENUE,NY,10465,JENNIFER JOYNT,718-823-6042,718-823-6347,"06,07,08,SE",BRONX
08X467,X,2,X467,MOTT HALL COMMUNITY SCHOOL,Junior High-Intermediate-Middle,1,8,8,650 HOLLYWOOD AVENUE,NY,10465,GEOVANTI STEWARD,718-829-3254,718-829-3985,"06,07,SE",BRONX
12X150,X,2,X150,P.S. 150 CHARLES JAMES FOX,Elementary,1,12,12,920 EAST 167 STREET,NY,10459,EDWIN IRIZARRY,718-328-7729,718-589-7590,"PK,0K,01,02,03,04,05,SE",BRONX
06M153,M,1,M153,P.S. 153 ADAM CLAYTON POWELL,Elementary,1,6,6,1750 AMSTERDAM AVENUE,NY,10031,KAREN BAILEY,212-927-8611,212-234-4616,"PK,0K,01,02,03,04,05,SE",MANHATTAN
06M368,M,1,M368,HAMILTON HEIGHTS SCHOOL,Elementary,1,6,6,1750 AMSTERDAM AVENUE,NY,10031,ALVA BUXENBAUM,212-862-9940,212-862-9946,"0K,01,02,03,04,05",MANHATTAN
05M318,M,1,M318,THURGOOD MARSHALL ACADEMY LOWER SCHOOL,Elementary,1,5,5,276 WEST 151ST STREET,NY,10039,SEAN DAVENPORT,212-368-8731,212-368-8641,"0K,01,02,03,04,05",MANHATTAN
08X146,X,2,X146,P.S. 146 EDWARD COLLINS,Elementary,1,8,8,968 CAULDWELL AVENUE,NY,10456,Janet Sanderson-Brown,718-378-9664,718-328-5858,"PK,0K,01,02,03,04,05,SE",BRONX
08X494,X,2,X494,Bronx Success Academy Charter School 2,K-8,2,8,84,968 CAULDWELL AVENUE,NY,10456,Vanessa Bangser,646-472-1911,,"0K,01",BRONX
08X123,X,2,X123,J.H.S. 123 JAMES M. KIERAN,Junior High-Intermediate-Middle,1,8,8,1025 MORRISON AVENUE,NY,10472,Tyra Williams,718-328-2105,718-328-8561,"06,07,08,SE",BRONX
08X337,X,2,X337,THE SCHOOL FOR INQUIRY AND SOCIAL JUSTICE,Junior High-Intermediate-Middle,1,8,8,1025 MORRISON AVENUE,NY,10472,Andrea Cyprys,718-860-4181,718-860-4163,"06,07,08,SE",BRONX
05M200,M,1,M200,P.S. 200- THE JAMES MCCUNE SMITH SCHOOL,Elementary,1,5,5,2589 7 AVENUE,NY,10039,Renee Y. Belton,212-491-6636,212-491-6925,"PK,0K,01,02,03,04,05,SE",MANHATTAN
05M499,M,1,M499,FREDERICK DOUGLASS ACADEMY,Secondary School,1,5,5,2581 7TH AVENUE,NY,10039,GREGORY HODGE,212-491-4107,212-491-4414,"06,07,08,09,10,11,12,SE",MANHATTAN
08X152,X,2,X152,P.S. 152 EVERGREEN,Elementary,1,8,8,1007 EVERGREEN AVENUE,NY,10472,FRANCES LYNCH,718-589-4560,718-328-5867,"PK,0K,01,02,03,04,05,SE",BRONX
08X131,X,2,X131,J.H.S. 131 ALBERT EINSTEIN,Junior High-Intermediate-Middle,1,8,8,885 BOLTON AVENUE,NY,10473,EDWARD C. LEOTTA,718-991-7490,718-328-6705,"06,07,08,SE",BRONX
08X448,X,2,X448,SOUNDVIEW ACADEMY FOR CULTURE AND SCHOLARSHIP,Junior High-Intermediate-Middle,1,8,8,885 BOLTON AVENUE,NY,10473,WILLIAM FRACKELTON,718-991-4027,718-991-4807,"06,07,SE",BRONX
07X385,X,2,X385,PERFORMANCE SCHOOL,Elementary,1,7,7,750 CONCOURSE VILLAGE W,NY,10451,LOURDES ESTRELLA,718-292-5070,718-292-5071,"PK,0K,01,02,03,04,05,SE",BRONX
84X389,X,2,X389,BRONX GLOBAL LEARNING INSTITUTE FOR GIRLS CHARTER,Elementary,2,7,84,750 CONCOURSE VILLAGE W,NY,10451,Celia Domenech,718-993-1740,718-993-1965,"0K,01,02,03",BRONX
07X031,X,2,X031,P.S./M.S. 031 THE WILLIAM LLOYD GARRISON,K-8,1,7,7,250 EAST 156 STREET,NY,10451,Liza Diaz,718-292-4397,718-292-4399,"PK,0K,01,02,03,04,05,06,07,08,SE",BRONX
07X151,X,2,X151,J.H.S. 151 LOU GEHRIG,Junior High-Intermediate-Middle,1,7,7,250 EAST 156 STREET,NY,10451,Socorro Rivera,718-292-0260,718-292-5704,"06,07,08,SE",BRONX
84X185,X,2,X185,THE BRONX LIGHTHOUSE CHARTER SCHOOL,K-8,2,12,84,1001 INTERVALE AVENUE,NY,10459,Meghan Kimpton (K-4)/Mathi*,646-915-0025,646-915-0037,"0K,01,02,03,04,05,06,07,08",BRONX
08X301,X,2,X301,M.S. 301 PAUL L. DUNBAR,Junior High-Intermediate-Middle,1,8,8,890 CAULDWELL AVENUE,NY,10456,BENJAMIN BASILE,718-585-2950,718-401-2567,"06,07,08,SE",BRONX
08X075,X,2,X075,P.S. 075,Elementary,1,8,8,984 FAILE STREET,NY,10459,Marines Arrieta-Cruz,718-860-1630,718-860-4480,"PK,0K,01,02,03,04,05,SE",BRONX
07X527,X,2,X527,BRONX LEADERSHIP ACADEMY II HIGH SCHOOL,High school,1,7,7,730 CONCOURSE VILLAGE WEST,NY,10451,KATHERINE CALLAGHAN,718-292-7171,718-292-2355,"09,10,11,12,SE",BRONX
07X548,X,2,X548,URBAN ASSEMBLY SCHOOL FOR CAREERS IN SPORTS,High school,1,7,7,730 CONCOURSE VILLAGE WEST,NY,10451,Johanny Garcia,718-993-0255,718-993-1567,"09,10,11,12,SE",BRONX
07X547,X,2,X547,NEW EXPLORERS HIGH SCHOOL,High school,1,7,7,730 CONCOURSE VILLAGE WEST,NY,10451,JACOB HOBSON,718-292-4150,718-292-5887,"09,10,11,12,SE",BRONX
08X138,X,2,X138,P.S. 138 SAMUEL RANDALL,Elementary,1,8,8,2060 LAFAYETTE AVENUE,NY,10473,Lorraine Carrol-Dawkins,718-822-5325,718-239-3114,"PK,0K,01,02,03,04,05,SE",BRONX
08X072,X,2,X072,P.S. 072 DR. WILLIAM DORNEY,Elementary,1,8,8,2951 DEWEY AVENUE,NY,10465,MARGARITA COLON,718-822-5311,718-828-4459,"PK,0K,01,02,03,04,05,SE",BRONX
08X140,X,2,X140,P.S. 140 EAGLE,Elementary,1,8,8,916 EAGLE AVENUE,NY,10456,PAUL CANNON,718-585-1205,718-292-1349,"PK,0K,01,02,03,04,05,SE",BRONX
12X217,X,2,X217,SCHOOL OF PERFORMING ARTS,Junior High-Intermediate-Middle,1,12,12,977 FOX STREET,NY,10459,SETH LITT,718-589-4844,718-589-7998,"06,07,08,SE",BRONX
84X346,X,2,X346,SOUTH BRONX CLASSICAL CHARTER SCHOOL,Elementary,2,12,84,977 FOX STREET,NY,10459,Lester Long,718-860-4340,718-860-4125,"0K,01,02,03,04,05",BRONX
12X384,X,2,X384,ENTRADA ACADEMY,Junior High-Intermediate-Middle,1,12,12,977 FOX STREET,NY,10459,SOCORRO DIAZ,718-378-1649,718-378-4707,"06,07,08,SE",BRONX
08X295,X,2,X295,GATEWAY SCHOOL FOR ENVIRONMENTAL RESEARCH AND TECH,High school,1,8,8,1980 LAFAYETTE AVENUE,NY,10473,CLIFFORD SIEGEL,718-824-9327,718-824-4368,"09,10,11,12,SE",BRONX
08X305,X,2,X305,PABLO NERUDA ACADEMY FOR ARCHITECTURE AND WORLD ST,High school,1,8,8,1980 LAFAYETTE AVENUE,NY,10473,Sabrina Cook,718-824-1682,718-824-1663,"09,10,11,12,SE",BRONX
08X312,X,2,X312,MILLENNIUM ART ACADEMY,High school,1,8,8,1980 LAFAYETTE AVENUE,NY,10473,Maxine  Nodel,718-824-0978,718-824-0963,"09,10,11,12,SE",BRONX
08X376,X,2,X376,"ANTONIA PANTOJA PREPARATORY ACADEMY, A COLLEGE BOA",Junior High-Intermediate-Middle,1,8,8,1980 LAFAYETTE AVENUE,NY,10473,NANCY JACQUELINE DIAZ,718-824-3152,,"06,07,08,09,SE",BRONX
08X377,X,2,X377,BRONX COMMUNITY HIGH SCHOOL,High school,1,8,8,1980 LAFAYETTE AVENUE,NY,10473,Flora Greenaway,718-892-1026,718-892-6941,"09,10,11,12",BRONX
08X452,X,2,X452,BRONX GUILD,High school,1,8,8,1980 LAFAYETTE AVENUE,NY,10473,Sam Decker,718-597-1587,718-597-1371,"09,10,11,12,SE",BRONX
08X540,X,2,X540,SCHOOL FOR COMMUNITY RESEARCH AND LEARNING,High school,1,8,8,1980 LAFAYETTE AVENUE,NY,10473,JOHN TORNIFOLIO,718-892-2054,718-892-3580,"09,10,11,12,SE",BRONX
08X432,X,2,X432,BRONX BRIDGES HIGH SCHOOL,High school,1,8,8,1980 LAFAYETTE AVENUE,NY,10473,Pablo Villavicencio,718-829-2984,718-829-2987,"09,SE",BRONX
07X029,X,2,X029,P.S./M.S. 029 MELROSE SCHOOL,K-8,1,7,7,758 COURTLANDT AVENUE,NY,10451,MEREDITH GOTLIN,718-292-3785,718-292-3784,"PK,0K,01,02,03,04,05,06,07,08,SE",BRONX
08X093,X,2,X093,P.S. 093 ALBERT G. OLIVER,Elementary,1,8,8,1535 STORY AVENUE,NY,10473,DONALD MATTSON,718-842-2655,718-328-5506,"PK,0K,01,02,03,04,05,SE",BRONX
08X461,X,2,X461,Metropolitan Lighthouse Charter School,K-12 all grades,2,8,84,1535 STORY AVENUE,NY,10473,Courtney Russell,718-893-0640,718-893-0675,"0K,01,02",BRONX
08X650,X,2,X650,JANE ADDAMS HIGH SCHOOL FOR ACADEMIC CAREERS,High school,1,8,8,900 TINTON AVENUE,NY,10456,SHARRON SMALLS,718-292-4513,718-292-1947,"09,10,11,12,SE",BRONX
08X100,X,2,X100,P.S. 100 ISAAC CLASON,Elementary,1,8,8,800 TAYLOR AVENUE,NY,10473,CHAD ADAM ALTMAN,718-842-1461,718-328-5520,"PK,0K,01,02,03,04,05,SE",BRONX
05M194,M,1,M194,P.S. 194 COUNTEE CULLEN,Elementary,1,5,5,244 WEST 144 STREET,NY,10030,Charyn Koppelson Cleary,212-690-5954,212-862-5743,"0K,01,02,03,04,05,SE",MANHATTAN
84M709,M,1,M709,HARLEM VILLAGE ACADEMY CHARTER SCHOOL,Secondary School,2,5,84,244 WEST 144 STREET,NY,10030,Laurie Warner/Ray Ankrum,646-812-9300,646-548-9576,"05,06,07,08,09,10,11,12",MANHATTAN
84X730,X,2,X730,BRONX CHARTER SCHOOL FOR ARTS,Elementary,2,8,84,950 LONGFELLOW AVENUE,NY,10474,Christina Brown,718-893-1042,718-893-7910,"0K,01,02,03,04,05,06,SE",BRONX
06M192,M,1,M192,P.S. 192 JACOB H. SCHIFF,Elementary,1,6,6,500 WEST 138 STREET,NY,10031,Deborah Schaefer,212-281-8395,212-862-7129,"PK,0K,01,02,03,04,05,SE",MANHATTAN
06M325,M,1,M325,P.S. 325,Elementary,1,6,6,500 WEST 138 STREET,NY,10031,Gary H. Cruz,212-234-1335,212-234-2022,"0K,01,02,03,04,05,SE",MANHATTAN
08X519,X,2,X519,FELISA RINCON DE GAUTIER INSTITUTE FOR LAW AND PUB,High school,1,8,8,1440 STORY AVENUE,NY,10473,Ms. Grismaldy Laboy-Wilson,718-860-5110,718-860-5081,"09,10,11,12,SE",BRONX
08X560,X,2,X560,HIGH SCHOOL X560 - BRONX ACADEMY HIGH SCHOOL,High school,1,8,8,1440 STORY AVENUE,NY,10473,Gary Eisinger,718-860-5060,718-860-5063,"10,11,12",BRONX
08X537,X,2,X537,Bronx Arena High School,High school,1,8,8,1440 STORY AVENUE,NY,10473,Ty Cesene,718-935-3477,,"09,10,11,12",BRONX
05M692,M,1,M692,"HIGH SCHOOL FOR MATHEMATICS, SCIENCE AND ENGINEERI",High school,1,5,5,240 CONVENT AVE,NY,10031,WILLIAM DUGAN,212-281-6490,212-281-6918,"09,10,11,12",NEW YORK
08X269,X,2,X269,BRONX STUDIO SCHOOL FOR WRITERS AND ARTISTS,Junior High-Intermediate-Middle,1,8,8,928 SIMPSON STREET,NY,10459,DAVID VAZQUEZ,718-893-5158,718-893-5982,"06,07,08,09,10,SE",BRONX
08X182,X,2,X182,P.S. 182,Elementary,1,8,8,601 STICKBALL BOULEVARD,NY,10473,Anne O'Grady,718-828-6607,718-409-8152,"PK,0K,01,02,03,04,05,SE",BRONX
05M123,M,1,M123,P.S. 123 MAHALIA JACKSON,K-8,1,5,5,301 WEST 140 STREET,NY,10030,BEVERLY LEWIS,212-690-5925,212-690-5930,"PK,0K,01,02,03,04,05,06,07,08,SE",MANHATTAN
05M482,M,1,M482,Harlem Success Academy Charter School 5,K-8,2,5,84,301 WEST 140 STREET,NY,10030,Stacey Apatov,646-472-1911,212-918-3464,"0K,01",MANHATTAN
07X157,X,2,X157,P.S. 157 GROVE HILL,Elementary,1,7,7,757 CAULDWELL AVENUE,NY,10456,RAMONA DURAN,718-292-5255,718-292-5258,"PK,0K,01,02,03,04,05,SE",BRONX
75X017,X,2,X017,P.S. X017,K-8,1,7,75,778 FOREST AVENUE,NY,10456,ROBIN COHEN,718-665-5617,718-665-6372,"0K,01,02,03,04,05,06,07,08,SE",BRONX
07X296,X,2,X296,SOUTH BRONX ACADEMY FOR APPLIED MEDIA,Junior High-Intermediate-Middle,1,7,7,778 FOREST AVENUE,NY,10456,ROSHONE AULT,718-401-0059,718-401-0577,"06,07,08,SE",BRONX
07X298,X,2,X298,ACADEMY OF PUBLIC RELATIONS,Junior High-Intermediate-Middle,1,7,7,778 FOREST AVENUE,NY,10456,Barry Marks,718-665-8866,718-401-0051,"06,07,08,SE",BRONX
07X379,X,2,X379,JILL CHAIFETZ TRANSFER HIGH SCHOOL,High school,1,7,7,778 FOREST AVENUE,NY,10456,ANNE FENNELLY,718-402-2429,718-402-3120,"09,10,11,12",BRONX
05M195,M,1,M195,I.S. 195 ROBERTO CLEMENTE,Junior High-Intermediate-Middle,1,5,5,625 WEST 133 STREET,NY,10027,ROSARIE JEAN,212-690-5848,212-690-5999,"06,07,08,SE",MANHATTAN
84M336,M,1,M336,KIPP INFINITY CHARTER SCHOOL,K-12 all grades,2,5,84,625 WEST 133 STREET,NY,10027,Joseph Negron,212-991-2600,212-234-8396,"0K,05,06,07,08,09,10,SE",MANHATTAN
84X704,X,2,X704,KIPP ACADEMY CHARTER SCHOOL,K-12 all grades,2,5,84,625 WEST 133 STREET,NY,10027,Carolyn Petruzziello/Steve*,718-665-3555,718-585-7982,"0K,01,05,06,07,08,09,10,SE",MANHATTAN
05M514,M,1,M514,New Design Middle School,Junior High-Intermediate-Middle,1,5,5,625 WEST 133 STREET,NY,10027,Dan Black,718-935-3597,,"06,07,08",MANHATTAN
07X001,X,2,X001,P.S. 001 COURTLANDT SCHOOL,Elementary,1,7,7,335 EAST 152 STREET,NY,10451,JORGE PERDOMO,718-292-9191,718-292-2227,"PK,0K,01,02,03,04,05,SE",BRONX
08X107,X,2,X107,P.S. 107,Elementary,1,8,8,1695 SEWARD AVENUE,NY,10473,Katherine Hamm,718-860-2596,718-328-5799,"PK,0K,01,02,03,04,05,SE",BRONX
06M540,M,1,M540,A. PHILIP RANDOLPH CAMPUS HIGH SCHOOL,High school,1,6,6,443 WEST 135 STREET,NY,10031,HENRY RUBIO,212-926-0113,212-281-2726,"09,10,11,12,SE",MANHATTAN
07X600,X,2,X600,ALFRED E. SMITH CAREER AND TECHNICAL EDUCATION HIG,High school,1,7,7,333 EAST 151 STREET,NY,10451,RENE CASSANOVA,718-993-5000,718-292-1944,"09,10,11,12,SE",BRONX
08X381,X,2,X381,BRONX HAVEN HIGH SCHOOL,High school,1,8,7,333 EAST 151 STREET,NY,10451,LUCINDA MENDEZ,718-292-3638,718-292-6065,"09,10,11,12,SE",BRONX
07X522,X,2,X522,Bronx Design and Construction Academy,High school,1,7,7,333 EAST 151 STREET,NY,10451,Matthew Williams,718-935-3442,,"09,10,11,12,SE",BRONX
07X500,X,2,X500,HOSTOS-LINCOLN ACADEMY OF SCIENCE,Secondary School,1,7,7,475 GRAND CONCOURSE,NY,10451,NICHOLAS PAARLBERG,718-518-4333,718-518-4321,"06,07,08,09,10,11,12,SE",BRONX
08X130,X,2,X130,P.S. 130 ABRAM STEVENS HEWITT,Elementary,1,8,8,750 PROSPECT AVENUE,NY,10455,LOURDES VELAZQUEZ,718-665-0962,718-292-0417,"PK,0K,01,02,03,04,05,SE",BRONX
05M161,M,1,M161,P.S. 161 PEDRO ALBIZU CAMPOS,K-8,1,5,5,499 WEST 133 STREET,NY,10027,BARBARA FREEMAN,212-690-5945,917-507-0524,"0K,01,02,03,04,05,06,07,08,SE",MANHATTAN
07X473,X,2,X473,MOTT HAVEN VILLAGE PREPARATORY HIGH SCHOOL,High school,1,7,7,701 ST. ANNS AVENUE,NY,10455,FLAVIA PUELLO PERDOMO,718-402-0571,718-665-2363,"09,10,11,12,SE",BRONX
10X495,X,2,X495,UNIVERSITY HEIGHTS SECONDARY SCHOOL AT BRONX COMMU,High school,1,7,7,701 ST. ANNS AVENUE,NY,10455,HAZEL JOSEPH ROSEBORO,718-292-0578,718-295-7572,"09,10,11,12,SE",BRONX
08X332,X,2,X332,HOLCOMBE L. RUCKER SCHOOL OF COMMUNITY RESEARCH,High school,1,8,8,965 LONGWOOD AVENUE,NY,10459,SHARIF RUCKER,718-860-1053,718-860-1321,"09,10,11,12,SE",BRONX
08X530,X,2,X530,BANANA KELLY HIGH SCHOOL,High school,1,8,8,965 LONGWOOD AVENUE,NY,10459,JOSHUA LAUB,718-860-1242,718-860-1934,"09,10,11,12,SE",BRONX
05M302,M,1,M302,KAPPA IV,Junior High-Intermediate-Middle,1,5,5,6 EDGECOMBE AVENUE,NY,10030,BRIONY CARR,212-690-4963,212-690-8056,"06,07,08,SE",MANHATTAN
05M304,M,1,M304,MOTT HALL HIGH SCHOOL,High school,1,5,5,6 EDGECOMBE AVENUE,NY,10030,Altagracia Villalona,212-690-5501,212-690-5047,"09,10,11,12,SE",MANHATTAN
05M685,M,1,M685,BREAD  &  ROSES INTEGRATED ARTS HIGH SCHOOL,High school,1,5,5,6 EDGECOMBE AVENUE,NY,10030,RODNEY LOFTON,212-926-4152,212-926-4317,"09,10,11,12,SE",MANHATTAN
08X069,X,2,X069,P.S. 069 THE NEW VISION SCHOOL,Elementary,1,8,8,560 THERIOT AVENUE,NY,10473,SHEILA DURANT,718-378-4736,718-328-0925,"PK,0K,01,02,03,04,05,SE",BRONX
07X321,X,2,X321,CROTONA ACADEMY HIGH SCHOOL,High school,1,7,7,639-55 ST. ANNS AVENUE,NY,10455,Anthony W. Harris,718-402-8378,718-402-8446,"09,10,11,12",BRONX
07X018,X,2,X018,P.S. 018 JOHN PETER ZENGER,Elementary,1,7,7,502 MORRIS AVENUE,NY,10451,Jasmin Varela,718-292-2868,718-292-2862,"PK,0K,01,02,03,04,05,SE",BRONX
07X162,X,2,X162,J.H.S. 162 LOLA RODRIGUEZ DE TIO,Junior High-Intermediate-Middle,1,7,7,600 SAINT ANN'S AVENUE,NY,10455,MARYANN MANZOLILLO,718-292-0880,718-292-5735,"06,07,08,SE",BRONX
84X393,X,2,X393,GREEN DOT NY CHARTER SCHOOL,High school,2,7,84,600 SAINT ANN'S AVENUE,NY,10455,Ashish Kapadia,718-585-0560,718-585-0563,"09,10,11",BRONX
07X427,X,2,X427,COMMUNITY SCHOOL FOR SOCIAL JUSTICE,High school,1,7,7,350 GERARD AVENUE,NY,10451,Sue-Ann Rosch,718-402-8481,718-402-8650,"09,10,11,12,SE",BRONX
07X670,X,2,X670,HEALTH OPPORTUNITIES HIGH SCHOOL,High school,1,7,7,350 GERARD AVENUE,NY,10451,CARRON STAPLE,718-401-1826,718-401-1632,"09,10,11,12,SE",BRONX
08X302,X,2,X302,M.S. 302 LUISA DESSUS CRUZ,Junior High-Intermediate-Middle,1,8,8,681 KELLY STREET,NY,10455,ANGEL RODRIGUEZ,718-292-6070,718-401-2958,"06,07,08,SE",BRONX
08X487,X,2,X487,Girls Preparatory Charter School of the Bronx,Elementary,2,8,84,681 KELLY STREET,NY,10455,Josie Carbone,718-292-2113,,"0K,01,02,SE",BRONX
84X345,X,2,X345,HYDE LEADERSHIP CHARTER SCHOOL,K-12 all grades,2,8,84,730 BRYANT AVENUE,NY,10474,Betsy Olney,718-991-5500,718-842-8617,"0K,01,02,03,04,06,07,08,09,10",BRONX
75X352,X,2,X352,THE VIDA BOGART SCHOOL FOR ALL CHILDREN,K-8,1,8,75,730 BRYANT AVENUE,NY,10474,LOURDES MENDEZ,718-542-1537,718-542-5128,"0K,01,02,03,04,05,06,07,08,SE",BRONX
08X424,X,2,X424,THE HUNTS POINT SCHOOL,Junior High-Intermediate-Middle,1,8,8,730 BRYANT AVENUE,NY,10474,JOHN HUGHES,718-328-1972,718-328-7330,"06,07,08,SE",BRONX
05M670,M,1,M670,THURGOOD MARSHALL ACADEMY FOR LEARNING AND SOCIAL,Secondary School,1,5,5,200-214 WEST 135TH STREET,NY,10030,Sandye Johnson,212-283-8055,212-283-8109,"06,07,08,09,10,11,12,SE",NEW YORK
06M223,M,1,M223,THE MOTT HALL SCHOOL,Junior High-Intermediate-Middle,1,6,6,71-111 CONVENT AVE,NY,10027,CYNTHIA ARNDT,212-281-5028,212-491-3451,"06,07,08,SE",MANHATTAN
05M286,M,1,M286,I.S. M286 RENAISSANCE MILITARY LEADERSHIP ACADEMY,Junior High-Intermediate-Middle,1,5,5,509 WEST 129 STREET,NY,10027,QADIR BEN DIXON,212-690-5972,212-694-4124,"06,07,08,SE",MANHATTAN
05M367,M,1,M367,ACADEMY FOR SOCIAL ACTION: A COLLEGE BOARD SCHOOL,Secondary School,1,5,5,509 WEST 129 STREET,NY,10027,Rhokeisha Ford,212-234-3102,212-234-8597,"06,07,08,09,10,11,12,SE",MANHATTAN
05M369,M,1,M369,URBAN ASSEMBLY SCHOOL FOR THE PERFORMING ARTS,High school,1,5,5,509 WEST 129 STREET,NY,10027,FIA DAVIS,212-234-4631,212-234-4975,"09,10,11,12,SE",MANHATTAN
05M410,M,1,M410,THE URBAN ASSEMBLY INSTITUTE FOR NEW TECHNOLOGIES,Junior High-Intermediate-Middle,1,5,5,509 WEST 129 STREET,NY,10027,TRAVIS BROWN,212-690-5977,212-690-5980,"06,07,SE",MANHATTAN
07X161,X,2,X161,P.S. 161 PONCE DE LEON,Elementary,1,7,7,628 TINTON AVENUE,NY,10455,Mark Weisman,718-292-5478,718-292-5476,"PK,0K,01,02,03,04,05,SE",BRONX
05M092,M,1,M092,P.S. 092 MARY MCLEOD BETHUNE,Elementary,1,5,5,222 WEST 134 STREET,NY,10030,ROSA DAVILA,212-690-5915,212-690-5920,"PK,0K,01,02,03,04,05,SE",MANHATTAN
84M388,M,1,M388,ST. HOPE LEADERSHIP ACADEMY CHARTER SCHOOL,Junior High-Intermediate-Middle,2,5,84,222 WEST 134 STREET,NY,10030,Ventura Rodriguez,212-283-1204,212-283-1207,"05,06,07,08,SE",MANHATTAN
05M481,M,1,M481,Democracy Preparatory Harlem Charter School,Junior High-Intermediate-Middle,2,5,84,222 WEST 134 STREET,NY,10030,Emmanuel George,212-281-3061,212-281-3064,"06,SE",MANHATTAN
05M129,M,1,M129,P.S. 129 JOHN H. FINLEY,K-8,1,5,5,425 WEST 130 STREET,NY,10027,ODELPHIA PIERRE,212-690-5932,212-690-5934,"PK,0K,01,02,03,04,05,06,07,08,SE",MANHATTAN
08X282,X,2,X282,"YOUNG WOMEN'S LEADERSHIP SCHOOL, BRONX CAMPUS",High school,1,8,8,456 WHITE PLAINS ROAD,NY,10473,ARNETTE CROCKER,718-542-0740,718-542-0841,"09,10,11,12,SE",BRONX
08X367,X,2,X367,"ARCHIMEDES ACADEMY FOR MATH, SCIENCE AND TECHNOLOG",Junior High-Intermediate-Middle,1,8,8,456 WHITE PLAINS ROAD,NY,10473,MIRIAM LAZAR,718-617-5046,718-617-7395,"06,07,08,09,SE",BRONX
08X375,X,2,X375,THE BRONX MATHEMATICS PREPARATORY SCHOOL,Junior High-Intermediate-Middle,1,8,8,456 WHITE PLAINS ROAD,NY,10473,MARK D. CLARKE,718-542-5063,718-542-5236,"06,07,08,SE",BRONX
08X048,X,2,X048,P.S. 048 JOSEPH R. DRAKE,Elementary,1,8,8,1290 SPOFFORD AVENUE,NY,10474,ROXANNE CARDONA,718-589-4312,718-842-6993,"PK,0K,01,02,03,04,05,SE",BRONX
05M175,M,1,M175,P.S. 175 HENRY H GARNET,Elementary,1,5,5,175 WEST 134 STREET,NY,10030,CHERYL MCCLENDON,212-283-0426,212-286-6319,"PK,0K,01,02,03,04,05,SE",MANHATTAN
84M350,M,1,M350,DEMOCRACY PREP CHARTER SCHOOL,Secondary School,2,5,84,207 West 133rd Street,NY,10030,Lisa Friscia/Elizabeth Raji,212-281-1248,212-283-4202,"06,07,08,09,10,SE",New York
08X062,X,2,X062,P.S. 062 INOCENSIO CASANOVA,Elementary,1,8,8,660 FOX STREET,NY,10455,LISA MANFREDONIA,718-585-1617,718-292-6327,"PK,0K,01,02,03,04,05,SE",BRONX
07X221,X,2,X221,SOUTH BRONX PREPARATORY: A COLLEGE BOARD SCHOOL,Secondary School,1,7,7,360 EAST 145 STREET,NY,10454,ELLEN REDDON FLANAGAN,718-292-2211,718-292-2172,"06,07,08,09,10,11,12,SE",BRONX
07X223,X,2,X223,M.S. 223 THE LABORATORY SCHOOL OF FINANCE AND TECH,Junior High-Intermediate-Middle,1,7,7,360 EAST 145 STREET,NY,10454,RAMON GONZALEZ,718-292-8627,718-292-7435,"06,07,08,SE",BRONX
07X277,X,2,X277,P.S. 277,Elementary,1,7,7,519 ST ANNS AVENUE,NY,10455,CHERYL TYLER,718-292-3594,718-292-3630,"PK,0K,01,02,03,04,05,SE",BRONX
07X005,X,2,X005,P.S. 005 PORT MORRIS,Elementary,1,7,7,564 JACKSON AVENUE,NY,10455,MARY PADILLA,718-292-2683,718-292-2495,"PK,0K,01,02,03,04,05,SE",BRONX
75X168,X,2,X168,P.S. 168,K-12 all grades,1,7,75,339 MORRIS AVENUE,NY,10451,ROSA NIEVES GREENE,718-585-2100,718-585-8315,"PK,0K,01,02,03,04,05,06,07,08,09,10,11,12,SE",BRONX
07X203,X,2,X203,M.S. 203,Junior High-Intermediate-Middle,1,7,7,339 MORRIS AVENUE,NY,10451,William Hewlett Jr,718-292-1052,718-292-5765,"06,07,08,SE",BRONX
07X551,X,2,X551,BRONX ACADEMY OF LETTERS,Secondary School,1,7,7,339 MORRIS AVENUE,NY,10451,ANNA HALL,718-401-4891,718-401-6626,"06,07,08,09,10,11,12,SE",BRONX
